Entity,Year,Child deaths (United Nations Population Division (2015))
Cameroon,1957,56871
Cameroon,1962,59452
Cameroon,1967,62945
Cameroon,1972,64866
Cameroon,1977,66132
Cameroon,1982,70249
Cameroon,1987,76379
Cameroon,1992,81346
Cameroon,1997,87232
Cameroon,2002,95602
Cameroon,2007,100290
Cameroon,2012,95602
Canada,1952,18114
Canada,1957,17267
Canada,1962,14454
Canada,1967,9916
Canada,1972,7278
Canada,1977,5606
Canada,1982,4227
Canada,1987,3561
Canada,1992,3079
Canada,1997,2398
Canada,2002,2119
Canada,2007,2220
Canada,2012,2106
Cape Verde,1952,1622
Cape Verde,1957,1764
Cape Verde,1962,1846
Cape Verde,1967,1729
Cape Verde,1972,1447
Cape Verde,1977,1173
Cape Verde,1982,1001
Cape Verde,1987,891
Cape Verde,1992,731
Cape Verde,1997,539
Cape Verde,2002,383
Cape Verde,2007,279
Cape Verde,2012,263
Central African Republic,1952,19155
Central African Republic,1957,19685
Central African Republic,1962,20183
Central African Republic,1967,20157
Central African Republic,1972,19004
Central African Republic,1977,17909
Central African Republic,1982,18749
Central African Republic,1987,20795
Central African Republic,1992,23128
Central African Republic,1997,26056
Central African Republic,2002,27718
Central African Republic,2007,26668
Central African Republic,2012,24373
Chad,1952,36640
Chad,1957,39085
Chad,1962,40564
Chad,1967,42380
Chad,1972,44783
Chad,1977,48202
Chad,1982,51524
Chad,1987,56768
Chad,1992,64783
Chad,1997,73013
Chad,2002,83450
Chad,2007,91774
Chad,2012,92221
Channel Islands,1952,64
Channel Islands,1957,56
Channel Islands,1962,59
Channel Islands,1967,55
Channel Islands,1972,45
Channel Islands,1977,37
Channel Islands,1982,32
Channel Islands,1987,31
Channel Islands,1992,28
Channel Islands,1997,24
Channel Islands,2002,20
Channel Islands,2007,16
Channel Islands,2012,15
Chile,1952,42867
Chile,1957,42361
Chile,1962,39205
Chile,1967,32285
Chile,1972,22930
Chile,1977,16838
Chile,1982,12550
Chile,1987,9951
Chile,1992,7116
Chile,1997,4925
Chile,2002,3694
Chile,2007,3125
Chile,2012,2872
China,1952,4778600
China,1957,4781300
China,1962,5545040
China,1967,4186560
China,1972,2814640
China,1977,1654904
China,1982,1253294
China,1987,1459334
China,1992,1174044
China,1997,740408
China,2002,482928
China,2007,320808
China,2012,233650
Colombia,1952,114738
Colombia,1957,105020
Colombia,1962,101464
Colombia,1967,96166
Colombia,1972,81934
Colombia,1977,67473
Colombia,1982,52853
Colombia,1987,43419
Colombia,1992,33846
Colombia,1997,28310
Colombia,2002,23995
Colombia,2007,21746
Colombia,2012,19421
Comoros,1952,2085
Comoros,1957,2288
Comoros,1962,2302
Comoros,1967,2286
Comoros,1972,2261
Comoros,1977,2417
Comoros,1982,2408
Comoros,1987,2262
Comoros,1992,2065
Comoros,1997,2017
Comoros,2002,2155
Comoros,2007,2146
Comoros,2012,1988
Congo,1952,8534
Congo,1957,8233
Congo,1962,8077
Congo,1967,8339
Congo,1972,8969
Congo,1977,9626
Congo,1982,9977
Congo,1987,10617
Congo,1992,12115
Congo,1997,15079
Congo,2002,16565
Congo,2007,14320
Congo,2012,12124
Costa Rica,1952,6611
Costa Rica,1957,6998
Costa Rica,1962,6940
Costa Rica,1967,5837
Costa Rica,1972,4297
Costa Rica,1977,2843
Costa Rica,1982,2025
Costa Rica,1987,1678
Costa Rica,1992,1452
Costa Rica,1997,1222
Costa Rica,2002,1003
Costa Rica,2007,906
Costa Rica,2012,818
Cote d'Ivoire,1952,56526
Cote d'Ivoire,1957,58899
Cote d'Ivoire,1962,60131
Cote d'Ivoire,1967,62082
Cote d'Ivoire,1972,64105
Cote d'Ivoire,1977,66529
Cote d'Ivoire,1982,69186
Cote d'Ivoire,1987,75174
Cote d'Ivoire,1992,84300
Cote d'Ivoire,1997,95718
Cote d'Ivoire,2002,98938
Cote d'Ivoire,2007,95540
Cote d'Ivoire,2012,90544
Croatia,1952,9138
Croatia,1957,6256
Croatia,1962,4035
Croatia,1967,2563
Croatia,1972,1906
Croatia,1977,1643
Croatia,1982,1379
Croatia,1987,941
Croatia,1992,606
Croatia,1997,410
Croatia,2002,328
Croatia,2007,303
Croatia,2012,214
Cuba,1952,21617
Cuba,1957,18284
Cuba,1962,19555
Cuba,1967,15478
Cuba,1972,10614
Cuba,1977,4779
Cuba,1982,3538
Cuba,1987,3061
Cuba,1992,2381
Cuba,1997,1638
Cuba,2002,1112
Cuba,2007,932
Cuba,2012,843
Curacao,1952,344
Curacao,1957,280
Curacao,1962,219
Curacao,1967,167
Curacao,1972,117
Curacao,1977,82
Curacao,1982,63
Curacao,1987,61
Curacao,1992,47
Curacao,1997,38
Curacao,2002,30
Curacao,2007,27
Curacao,2012,25
Cyprus,1952,1126
Cyprus,1957,966
Cyprus,1962,731
Cyprus,1967,415
Cyprus,1972,365
Cyprus,1977,293
Cyprus,1982,247
Cyprus,1987,198
Cyprus,1992,156
Cyprus,1997,114
Cyprus,2002,83
Cyprus,2007,65
Cyprus,2012,66
Czech Republic,1952,9900
Czech Republic,1957,4509
Czech Republic,1962,3459
Czech Republic,1967,3608
Czech Republic,1972,3982
Czech Republic,1977,3711
Czech Republic,1982,2496
Czech Republic,1987,1796
Czech Republic,1992,1369
Czech Republic,1997,689
Czech Republic,2002,481
Czech Republic,2007,443
Czech Republic,2012,344
Democratic Republic of Congo,1952,166196
Democratic Republic of Congo,1957,175067
Democratic Republic of Congo,1962,192185
Democratic Republic of Congo,1967,209294
Democratic Republic of Congo,1972,221914
Democratic Republic of Congo,1977,245468
Democratic Republic of Congo,1982,264948
Democratic Republic of Congo,1987,294254
Democratic Republic of Congo,1992,330160
Democratic Republic of Congo,1997,396078
Democratic Republic of Congo,2002,389138
Democratic Republic of Congo,2007,362636
Democratic Republic of Congo,2012,348418
Denmark,1952,2632
Denmark,1957,2090
Denmark,1962,1938
Denmark,1967,1554
Denmark,1972,1124
Denmark,1977,748
Denmark,1982,536
Denmark,1987,576
Denmark,1992,533
Denmark,1997,415
Denmark,2002,372
Denmark,2007,298
Denmark,2012,251
Djibouti,1952,740
Djibouti,1957,774
Djibouti,1962,940
Djibouti,1967,1217
Djibouti,1972,1438
Djibouti,1977,1857
Djibouti,1982,2221
Djibouti,1987,2552
Djibouti,1992,2969
Djibouti,1997,2633
Djibouti,2002,2414
Djibouti,2007,2196
Djibouti,2012,1878
Dominican Republic,1952,33475
Dominican Republic,1957,34233
Dominican Republic,1962,32656
Dominican Republic,1967,29329
Dominican Republic,1972,24575
Dominican Republic,1977,20301
Dominican Republic,1982,17711
Dominican Republic,1987,15152
Dominican Republic,1992,11882
Dominican Republic,1997,10043
Dominican Republic,2002,8525
Dominican Republic,2007,7340
Dominican Republic,2012,6245
Ecuador,1952,33600
Ecuador,1957,35652
Ecuador,1962,36774
Ecuador,1967,36683
Ecuador,1972,34953
Ecuador,1977,31100
Ecuador,1982,26701
Ecuador,1987,21637
Ecuador,1992,17088
Ecuador,1997,13940
Ecuador,2002,11088
Ecuador,2007,9402
Ecuador,2012,8489
Egypt,1952,421492
Egypt,1957,367000
Egypt,1962,348686
Egypt,1967,333880
Egypt,1972,330712
Egypt,1977,289186
Egypt,1982,259464
Egypt,1987,193027
Egypt,1992,143004
Egypt,1997,81769
Egypt,2002,68674
Egypt,2007,59281
Egypt,2012,58839
El Salvador,1952,24015
El Salvador,1957,25881
El Salvador,1962,27171
El Salvador,1967,26631
El Salvador,1972,26006
El Salvador,1977,24912
El Salvador,1982,20985
El Salvador,1987,14528
El Salvador,1992,8498
El Salvador,1997,5405
El Salvador,2002,3738
El Salvador,2007,2868
El Salvador,2012,2161
Equatorial Guinea,1952,3038
Equatorial Guinea,1957,3097
Equatorial Guinea,1962,3100
Equatorial Guinea,1967,3177
Equatorial Guinea,1972,2682
Equatorial Guinea,1977,2003
Equatorial Guinea,1982,2296
Equatorial Guinea,1987,3127
Equatorial Guinea,1992,3369
Equatorial Guinea,1997,3279
Equatorial Guinea,2002,3201
Equatorial Guinea,2007,3161
Equatorial Guinea,2012,3059
Eritrea,1952,16494
Eritrea,1957,17434
Eritrea,1962,18471
Eritrea,1967,18866
Eritrea,1972,18650
Eritrea,1977,19119
Eritrea,1982,20492
Eritrea,1987,20434
Eritrea,1992,17489
Eritrea,1997,12723
Eritrea,2002,11748
Eritrea,2007,12003
Eritrea,2012,10441
Estonia,1952,2194
Estonia,1957,1243
Estonia,1962,772
Estonia,1967,568
Estonia,1972,563
Estonia,1977,587
Estonia,1982,589
Estonia,1987,542
Estonia,1992,356
Estonia,1997,201
Estonia,2002,126
Estonia,2007,95
Estonia,2012,65
Ethiopia,1952,313396
Ethiopia,1957,304486
Ethiopia,1962,299674
Ethiopia,1967,313132
Ethiopia,1972,344698
Ethiopia,1977,376884
Ethiopia,1982,437296
Ethiopia,1987,445470
Ethiopia,1992,458192
Ethiopia,1997,433780
Ethiopia,2002,366948
Ethiopia,2007,277808
Ethiopia,2012,233686
Fiji,1952,1989
Fiji,1957,1984
Fiji,1962,1808
Fiji,1967,1493
Fiji,1972,1274
Fiji,1977,1215
Fiji,1982,1109
Fiji,1987,887
Fiji,1992,724
Fiji,1997,588
Fiji,2002,460
Fiji,2007,423
Fiji,2012,366
Finland,1952,4009
Finland,1957,2805
Finland,1962,1963
Finland,1967,1392
Finland,1972,934
Finland,1977,709
Finland,1982,527
Finland,1987,463
Finland,1992,408
Finland,1997,294
Finland,2002,235
Finland,2007,215
Finland,2012,177
France,1952,44387
France,1957,32504
France,1962,25896
France,1967,20867
France,1972,16445
France,1977,10957
France,1982,9095
France,1987,7584
France,1992,6131
France,1997,4388
France,2002,4077
France,2007,3568
France,2012,3192
French Guiana,1952,143
French Guiana,1957,128
French Guiana,1962,118
French Guiana,1967,95
French Guiana,1972,94
French Guiana,1977,88
French Guiana,1982,82
French Guiana,1987,93
French Guiana,1992,97
French Guiana,1997,88
French Guiana,2002,83
French Guiana,2007,76
French Guiana,2012,73
French Polynesia,1952,407
French Polynesia,1957,332
French Polynesia,1962,324
French Polynesia,1967,326
French Polynesia,1972,314
French Polynesia,1977,276
French Polynesia,1982,182
French Polynesia,1987,122
French Polynesia,1992,105
French Polynesia,1997,55
French Polynesia,2002,48
French Polynesia,2007,38
French Polynesia,2012,34
Gabon,1952,4399
Gabon,1957,4339
Gabon,1962,4628
Gabon,1967,4555
Gabon,1972,4312
Gabon,1977,3984
Gabon,1982,3623
Gabon,1987,3231
Gabon,1992,3374
Gabon,1997,3577
Gabon,2002,3803
Gabon,2007,3588
Gabon,2012,3143
Gambia,1952,4705
Gambia,1957,5654
Gambia,1962,6296
Gambia,1967,6137
Gambia,1972,6215
Gambia,1977,6236
Gambia,1982,6296
Gambia,1987,6566
Gambia,1992,6811
Gambia,1997,6881
Gambia,2002,6241
Gambia,2007,5965
Gambia,2012,6364
Georgia,1952,8187
Georgia,1957,8439
Georgia,1962,7867
Georgia,1967,5910
Georgia,1972,5220
Georgia,1977,4849
Georgia,1982,4751
Georgia,1987,4485
Georgia,1992,4019
Georgia,1997,2438
Georgia,2002,1667
Georgia,2007,1265
Georgia,2012,909
Germany,1952,59871
Germany,1957,53534
Germany,1962,46236
Germany,1967,33928
Germany,1972,23161
Germany,1977,15272
Germany,1982,11207
Germany,1987,8835
Germany,1992,6381
Germany,1997,4764
Germany,2002,3759
Germany,2007,3076
Germany,2012,2579
Ghana,1952,59462
Ghana,1957,62356
Ghana,1962,67451
Ghana,1967,70598
Ghana,1972,73015
Ghana,1977,72355
Ghana,1982,73955
Ghana,1987,71876
Ghana,1992,66957
Ghana,1997,65682
Ghana,2002,65155
Ghana,2007,64196
Ghana,2012,66902
Greece,1952,8596
Greece,1957,7608
Greece,1962,6769
Greece,1967,5576
Greece,1972,4003
Greece,1977,3371
Greece,1982,2305
Greece,1987,1471
Greece,1992,999
Greece,1997,855
Greece,2002,602
Greece,2007,570
Greece,2012,371
Grenada,1952,456
Grenada,1957,438
Grenada,1962,354
Grenada,1967,219
Grenada,1972,159
Grenada,1977,121
Grenada,1982,110
Grenada,1987,88
Grenada,1992,61
Grenada,1997,41
Grenada,2002,32
Grenada,2007,28
Grenada,2012,27
Guadeloupe,1952,1157
Guadeloupe,1957,945
Guadeloupe,1962,829
Guadeloupe,1967,615
Guadeloupe,1972,430
Guadeloupe,1977,272
Guadeloupe,1982,187
Guadeloupe,1987,154
Guadeloupe,1992,116
Guadeloupe,1997,92
Guadeloupe,2002,72
Guadeloupe,2007,56
Guadeloupe,2012,42
Guam,1952,230
Guam,1957,228
Guam,1962,212
Guam,1967,168
Guam,1972,138
Guam,1977,119
Guam,1982,101
Guam,1987,93
Guam,1992,86
Guam,1997,69
Guam,2002,52
Guam,2007,40
Guam,2012,33
Guatemala,1952,42417
Guatemala,1957,42998
Guatemala,1962,43623
Guatemala,1967,43254
Guatemala,1972,41467
Guatemala,1977,40399
Guatemala,1982,38110
Guatemala,1987,32477
Guatemala,1992,27239
Guatemala,1997,23301
Guatemala,2002,20113
Guatemala,2007,16494
Guatemala,2012,13570
Guinea,1952,50141
Guinea,1957,53020
Guinea,1962,54834
Guinea,1967,57727
Guinea,1972,59257
Guinea,1977,57693
Guinea,1982,57909
Guinea,1987,60376
Guinea,1992,66360
Guinea,1997,66021
Guinea,2002,60933
Guinea,2007,56200
Guinea,2012,44080
Guinea-Bissau,1952,7675
Guinea-Bissau,1957,7720
Guinea-Bissau,1962,7614
Guinea-Bissau,1967,7708
Guinea-Bissau,1972,8168
Guinea-Bissau,1977,8588
Guinea-Bissau,1982,9273
Guinea-Bissau,1987,9713
Guinea-Bissau,1992,9837
Guinea-Bissau,1997,9800
Guinea-Bissau,2002,9756
Guinea-Bissau,2007,9883
Guinea-Bissau,2012,9721
Guyana,1952,1757
Guyana,1957,1918
Guyana,1962,1973
Guyana,1967,1906
Guyana,1972,1944
Guyana,1977,1937
Guyana,1982,1736
Guyana,1987,1511
Guyana,1992,1197
Guyana,1997,1083
Guyana,2002,861
Guyana,2007,657
Guyana,2012,596
Haiti,1952,49300
Haiti,1957,46824
Haiti,1962,44230
Haiti,1967,40307
Haiti,1972,38100
Haiti,1977,39884
Haiti,1982,43579
Haiti,1987,38815
Haiti,1992,34083
Haiti,1997,29184
Haiti,2002,25064
Haiti,2007,23386
